buckfast 1.3.2                                                                                      ,

*HEADING,
Buckfast example - Pipeline A - Scenario 1                                                          ,

*SIMULATION,
number of simulations,              100000,

*WATER,
temperature of sea-water (°C),        4.0000000000,,
density of sea-water (kg.m-3),     1025.0000000000,,

*AXIALFRICTION,                   1,,
distribution,LOGNORMAL           ,,
mean,        0.5170000000,,
standard deviation,        0.1370000000,,

*SINGLE,                   1,,
diameter (mm),      273.1000000000,,
wall thickness (mm),       25.4000000000,,
density of steel (kg.m-3),     7850.0000000000,,
elastic modulus (N.mm-2),   207000.0000000000,,
Poisson's ratio,        0.3000000000,,
coefficient of thermal expansion (°C-1),        0.0000117000,,
thickness of coating (mm),      300.0000000000,                   1,
density of coating (kg.m-3),      990.5815642546,                   1,
density of contents during operation (kg.m-3),      799.9858676179,,
density of contents during installation (kg.m-3),        1.3136056940,,

length of pipeline (m),    20000.0000000000,,



number of simulations,              100000,
number of simulations with one or more buckles,              100000,
probability of one or more buckles,    0.1000000000E+01,
                    ,
                    ,mean,standard deviation,minimum,maximum,
number of buckles,    0.7195110000E+01,    0.1829781978E+01,                   2,                  19,

element,centroid of element,number of simulations with a buckle,probability of buckling,probability of not buckling,mean of the VAS,standard deviation of the VAS,minimum VAS,maximum VAS,
,(m),,,,(m),(m),(m),(m),
     9350.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     9400.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     9450.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     9500.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     9550.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     9600.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     9650.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     9700.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     9750.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     9800.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     9850.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     9900.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
     9950.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
    10000.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,

VAS,cumulative probability,
m,,
        0.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
       50.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
      100.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
      150.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
      200.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
      250.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
      300.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
      350.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
      400.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
      450.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
      500.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,
      550.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2131060202E-02,
      600.0000000000,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2131060202E-02,
      650.0000000000,    0.2602811036E-02,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2463721698E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.5327650506E-02,
      700.0000000000,    0.1145236856E-01,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2464997042E-04,    0.0000000000E+00,    0.2456036939E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.2459722051E-04,    0.2463721698E-04,    0.2444509631E-04,    0.2468099810E-04,    0.0000000000E+00,    0.0000000000E+00,    0.0000000000E+00,    0.8524240810E-02,
      750.0000000000,    0.2290473712E-01,    0.3361005613E-04,    0.4693844024E-04,    0.7350238883E-04,    0.4936930710E-04,    0.2456640299E-04,    0.4929994084E-04,    0.0000000000E+00,    0.7368110816E-04,    0.4906169508E-04,    0.7405761683E-04,    0.2456459260E-04,    0.4919444103E-04,    0.4927443396E-04,    0.2444509631E-04,    0.2468099810E-04,    0.9823423954E-04,    0.0000000000E+00,    0.0000000000E+00,    0.1331912627E-01,
      800.0000000000,    0.4060385216E-01,    0.3361005613E-04,    0.7040766035E-04,    0.2205071665E-03,    0.1234232678E-03,    0.1473984179E-03,    0.9859988168E-04,    0.7376444554E-04,    0.1719225857E-03,    0.7359254262E-04,    0.1234293614E-03,    0.1473875556E-03,    0.7379166154E-04,    0.1231860849E-03,    0.4889019263E-04,    0.1974479848E-03,    0.1227927994E-03,    0.4667662435E-04,    0.1003780908E-03,    0.3303143314E-01,
      850.0000000000,    0.7079646018E-01,    0.1344402245E-03,    0.2816306414E-03,    0.4165135367E-03,    0.2715311891E-03,    0.3193632388E-03,    0.2218497338E-03,    0.2704696336E-03,    0.3929659102E-03,    0.2943701705E-03,    0.3949739564E-03,    0.2456459260E-03,    0.2705694257E-03,    0.2463721698E-03,    0.2444509631E-03,    0.2961719772E-03,    0.2947027186E-03,    0.2333831217E-03,    0.2342155452E-03,    0.6499733617E-01,
      900.0000000000,    0.1082769391E+00,    0.3697106174E-03,    0.6336689432E-03,    0.8575278697E-03,    0.5430623781E-03,    0.5650272687E-03,    0.6408992309E-03,    0.4425866732E-03,    0.6876903429E-03,    0.5151477984E-03,    0.7158902960E-03,    0.5649856297E-03,    0.4427499693E-03,    0.5420187736E-03,    0.7089077931E-03,    0.7651109411E-03,    0.6876396768E-03,    0.4901045556E-03,    0.3345936360E-03,    0.9536494406E-01,
      950.0000000000,    0.1494013535E+00,    0.1310792189E-02,    0.1149991786E-02,    0.1347543795E-02,    0.1086124756E-02,    0.1302019358E-02,    0.1478998225E-02,    0.1032702238E-02,    0.1228018469E-02,    0.1152949834E-02,    0.1604581698E-02,    0.1228229630E-02,    0.9838888206E-03,    0.1059400330E-02,    0.1295590105E-02,    0.1431497890E-02,    0.1252486554E-02,    0.1143577296E-02,    0.9034028173E-03,    0.1385189132E+00,
     1000.0000000000,    0.2035398230E+00,    0.4234867072E-02,    0.2135699031E-02,    0.2548082813E-02,    0.1900718323E-02,    0.2260109075E-02,    0.2119897456E-02,    0.1844111138E-02,    0.1915708812E-02,    0.1741690175E-02,    0.2542644844E-02,    0.2284507111E-02,    0.1992374862E-02,    0.2291261179E-02,    0.2273393957E-02,    0.2418737814E-02,    0.2185711830E-02,    0.2380507842E-02,    0.4383176632E-02,    0.1816728823E+00,
     1050.0000000000,    0.2639250390E+00,    0.1065438779E-01,    0.3496913798E-02,    0.3871125812E-02,    0.3332428229E-02,    0.3267331597E-02,    0.3648195622E-02,    0.3614457831E-02,    0.3708615778E-02,    0.3311664418E-02,    0.4147226542E-02,    0.3930334815E-02,    0.3566596975E-02,    0.3621670896E-02,    0.3886770314E-02,    0.4343855666E-02,    0.3683783983E-02,    0.3640776699E-02,    0.1060661826E-01,    0.2381459776E+00,
     1100.0000000000,    0.3128578865E+00,    0.1905690183E-01,    0.5444859067E-02,    0.6051696680E-02,    0.5800893584E-02,    0.5453741463E-02,    0.5496943404E-02,    0.5778214900E-02,    0.6090971608E-02,    0.5666625782E-02,    0.6122096324E-02,    0.6042889779E-02,    0.5927930144E-02,    0.6060755377E-02,    0.6160164271E-02,    0.6935360466E-02,    0.6090522852E-02,    0.5764563107E-02,    0.1836919062E-01,    0.2850293021E+00,
     1150.0000000000,    0.3607496096E+00,    0.3004739018E-01,    0.8331573142E-02,    0.9138797011E-02,    0.8269358940E-02,    0.8328010613E-02,    0.9268388878E-02,    0.9195967544E-02,    0.9062776304E-02,    0.8855635962E-02,    0.9602804315E-02,    0.9604755705E-02,    0.9346943795E-02,    0.9214319151E-02,    0.9411362081E-02,    0.1009452822E-01,    0.9725189715E-02,    0.8541822255E-02,    0.2857429652E-01,    0.3329781566E+00,
     1200.0000000000,    0.4034357106E+00,    0.4466776460E-01,    0.1171114084E-01,    0.1323042999E-01,    0.1234232678E-01,    0.1193927185E-01,    0.1365608361E-01,    0.1322842390E-01,    0.1326259947E-01,    0.1346743530E-01,    0.1310819818E-01,    0.1405094697E-01,    0.1362686016E-01,    0.1350119491E-01,    0.1349369317E-01,    0.1409284991E-01,    0.1382646922E-01,    0.1199589246E-01,    0.4332987587E-01,    0.3883857219E+00,
     1250.0000000000,    0.4565330557E+00,    0.6261553457E-01,    0.1595906968E-01,    0.1884111234E-01,    0.1856285947E-01,    0.1773694296E-01,    0.1979392625E-01,    0.1846569953E-01,    0.1881324295E-01,    0.1893781430E-01,    0.1923029450E-01,    0.1952885111E-01,    0.1943180421E-01,    0.1963586193E-01,    0.1865160849E-01,    0.2028778044E-01,    0.1984331639E-01,    0.1643017177E-01,    0.6380700639E-01,    0.4443260522E+00,
     1300.0000000000,    0.5049453410E+00,    0.8587369341E-01,    0.2062944448E-01,    0.2548082813E-01,    0.2510429266E-01,    0.2380484449E-01,    0.2625221850E-01,    0.2591590853E-01,    0.2527262010E-01,    0.2499693364E-01,    0.2653731270E-01,    0.2552261171E-01,    0.2609765097E-01,    0.2638645939E-01,    0.2605847267E-01,    0.2769207987E-01,    0.2652324468E-01,    0.2086445108E-01,    0.8518753973E-01,    0.4928076718E+00,
     1350.0000000000,    0.5523165018E+00,    0.1138708702E+00,    0.2691919548E-01,    0.3393360284E-01,    0.3334896695E-01,    0.3193632388E-01,    0.3524945770E-01,    0.3562822719E-01,    0.3372138717E-01,    0.3346007605E-01,    0.3584388654E-01,    0.3461151097E-01,    0.3480506703E-01,    0.3461528986E-01,    0.3446758580E-01,    0.3657723918E-01,    0.3548711904E-01,    0.2765589993E-01,    0.1133268645E+00,    0.5482152371E+00,
     1400.0000000000,    0.6043727225E+00,    0.1458676436E+00,    0.3330282335E-01,    0.4392992772E-01,    0.4356841352E-01,    0.4210681472E-01,    0.4533129560E-01,    0.4570936808E-01,    0.4484723450E-01,    0.4354225438E-01,    0.4522451801E-01,    0.4409344371E-01,    0.4449637191E-01,    0.4365714849E-01,    0.4527231837E-01,    0.4664708641E-01,    0.4580171419E-01,    0.3444734877E-01,    0.1468866062E+00,    0.5929675013E+00,
     1450.0000000000,    0.6475793857E+00,    0.1806876617E+00,    0.4078950456E-01,    0.5600882029E-01,    0.5670064921E-01,    0.5448828183E-01,    0.5713863143E-01,    0.5847061716E-01,    0.5594852147E-01,    0.5556236968E-01,    0.5695030734E-01,    0.5573706060E-01,    0.5640142664E-01,    0.5550764986E-01,    0.5693262931E-01,    0.5792630254E-01,    0.5800731845E-01,    0.4221900672E-01,    0.1850637401E+00,    0.6297282898E+00,
